"Drew Brees, NO QB P",450.5
"Steven Jackson, Atl RB Q",295
"Ryan Mathews, SD RB",517
"A.J. Green, Cin WR",351
"Keenan Allen, SD WR",252
"Timothy Wright, TB TE",137.5
"Golden Tate, Det WR",252
"Paul Posluszny, Jac LB",233.5
"Cameron Jordan, NO DE",124.5
"DeAngelo Hall, Wsh CB",133.5
"Dan Bailey, Dal K",153
Browns Coach HC,11
"Victor Cruz, NYG WR",222
"Bernard Pollard, Ten S",142.5
"Charles Johnson, Car DE P",96
"Alex Smith, KC QB",332.5
"Ed Reed, NYJ S",52.5
"Andre Ellington, Ari RB",284.5
"Nick Novak, SD K",160
"Rashard Mendenhall, Ari RB",351
"Owen Daniels, Bal TE",66
"Sean Lee*, Dal LB IR",138.5