"J.J. Watt, Hou DE",216.5
"Robert Quinn, StL DE",175
"Chandler Jones, NE DE",172
"Greg Hardy, Car DE",161
"Cameron Wake, Mia DE",149
"Rob Ninkovich, NE DE",147
"DeMarcus Ware, Den DE P",143
"Cameron Jordan, NO DE",142
"Calais Campbell, Ari DE",141
"Olivier Vernon, Mia DE",138
"Muhammad Wilkerson, NYJ DE",136
"Jason Pierre-Paul, NYG DE",133.5
"Mario Williams, Buf DE P",133
"Michael Johnson, TB DE",131
"Lamarr Houston, Chi DE",130.5
"Justin Tuck, Oak DE P",129.5
"Carlos Dunlap, Cin DE",127.5
"Marcell Dareus, Buf DT Q",125.5
"Jared Allen, Chi DE P",123.5
"Charles Johnson, Car DE P",121