"Seahawks, D/ST D/ST",203
"Panthers, D/ST D/ST",192
"Broncos, D/ST D/ST",172
"49ers, D/ST D/ST",166
"Rams, D/ST D/ST",140
"Cardinals, D/ST D/ST",138
"Chiefs, D/ST D/ST",135
"Patriots, D/ST D/ST",132
"Buccaneers, D/ST D/ST",127
"Bills, D/ST D/ST",126
"Bengals, D/ST D/ST",124
"Browns, D/ST D/ST",110
"Saints, D/ST D/ST",109
"Texans, D/ST D/ST",106
"Ravens, D/ST D/ST",105
"Colts, D/ST D/ST",101
"Giants, D/ST D/ST",100
"Lions, D/ST D/ST",97
"Steelers, D/ST D/ST",97
"Packers, D/ST D/ST",92
"Titans, D/ST D/ST",88
"Dolphins, D/ST D/ST",88
"Falcons, D/ST D/ST",85
"Eagles, D/ST D/ST",85
"Raiders, D/ST D/ST",83
"Jets, D/ST D/ST",83
"Bears, D/ST D/ST",82
"Chargers, D/ST D/ST",79
"Jaguars, D/ST D/ST",78
"Redskins, D/ST D/ST",67
"Vikings, D/ST D/ST",65
"Cowboys, D/ST D/ST",48