"Peyton Manning, Den QB",368
"Aaron Rodgers, GB QB",347
"Drew Brees, NO QB",329
"Robert Griffin III, Wsh QB",285
"Matthew Stafford, Det QB",284
"Andrew Luck, Ind QB",282
"Nick Foles, Phi QB",277
"Cam Newton, Car QB P",275
"Russell Wilson, Sea QB",269
"Colin Kaepernick, SF QB",266
"Tony Romo, Dal QB",264
"Tom Brady, NE QB",261
"Philip Rivers, SD QB",261
"Matt Ryan, Atl QB",261
"Jay Cutler, Chi QB",245
"Andy Dalton, Cin QB",237
"Ben Roethlisberger, Pit QB",235
"Eli Manning, NYG QB",222
"Carson Palmer, Ari QB",221
"Ryan Tannehill, Mia QB",220
"Alex Smith, KC QB",212
"Joe Flacco, Bal QB",212
"Josh McCown, TB QB",210
"EJ Manuel, Buf QB",180