"Calvin Johnson, Det WR",236
"Demaryius Thomas, Den WR",216
"Dez Bryant, Dal WR",200
"A.J. Green, Cin WR",199
"Brandon Marshall, Chi WR",195
"Julio Jones, Atl WR",191
"Jordy Nelson, GB WR",188
"Alshon Jeffery, Chi WR",188
"Antonio Brown, Pit WR",187
"Randall Cobb, GB WR",183
"Andre Johnson, Hou WR",178
"Vincent Jackson, TB WR",172
"Larry Fitzgerald, Ari WR",154
"Keenan Allen, SD WR",150
"DeSean Jackson, Wsh WR",147
"Pierre Garcon, Wsh WR",147
"Victor Cruz, NYG WR",144
"Torrey Smith, Bal WR",142
"Michael Crabtree, SF WR",141
"Roddy White, Atl WR",140
"T.Y. Hilton, Ind WR",140
"Golden Tate, Det WR",139
"Emmanuel Sanders, Den WR",139
"Reggie Wayne, Ind WR",138
"Cordarrelle Patterson, Min WR",137
"Julian Edelman, NE WR",136
"Michael Floyd, Ari WR",135
"Mike Wallace, Mia WR",131
"Eric Decker, NYJ WR",128
"Percy Harvin, Sea WR",127
"Jeremy Maclin, Phi WR",127
"Kendall Wright, Ten WR",127
"Terrance Williams, Dal WR",127
"Sammy Watkins, Buf WR P",127
"Marques Colston, NO WR",124
"Anquan Boldin, SF WR",121
"DeAndre Hopkins, Hou WR",119
"Cecil Shorts, Jac WR P",118
"Wes Welker, Den WR Q",111
"Riley Cooper, Phi WR",111
"Dwayne Bowe, KC WR SSPD",103
"Hakeem Nicks, Ind WR",100