"Matt Prater, Den K",171
"Stephen Gostkowski, NE K",163
"Justin Tucker, Bal K",155
"Mason Crosby, GB K",151
"Steven Hauschka, Sea K",151
"Phil Dawson, SF K",150
"Nick Novak, SD K",150
"Adam Vinatieri, Ind K",147
"Blair Walsh, Min K",147
"Dan Bailey, Dal K",145
"Nick Folk, NYJ K",141
"Robbie Gould, Chi K",137
"Shayne Graham, NO K",134
"Matt Bryant, Atl K",134
"Shaun Suisham, Pit K",132
"Alex Henery, Phi K",132
"Jay Feely, Ari K",131
"Dan Carpenter, Buf K",131
"Ryan Succop, KC K",127
"Greg Zuerlein, StL K",127