"Adrian Peterson, Min RB",588
"LeSean McCoy, Phi RB",578
"Matt Forte, Chi RB",575
"Marshawn Lynch, Sea RB",565
"Jamaal Charles, KC RB",555
"Eddie Lacy, GB RB",544
"Doug Martin, TB RB",539
"Le'Veon Bell, Pit RB P",525
"Zac Stacy, StL RB P",489
"Trent Richardson, Ind RB",477
"Ben Tate, Cle RB",476
"Alfred Morris, Wsh RB",459
"DeMarco Murray, Dal RB",452
"Montee Ball, Den RB Q",450
"Frank Gore, SF RB",443
"Arian Foster, Hou RB P",440
"Giovani Bernard, Cin RB",439
"Toby Gerhart, Jac RB P",436
"Reggie Bush, Det RB",420
"Stevan Ridley, NE RB",418
"Ryan Mathews, SD RB",412
"Ray Rice, Bal RB SSPD",408
"Joique Bell, Det RB P",405
"Rashad Jennings, NYG RB",403
"C.J. Spiller, Buf RB",403
"Chris Johnson, NYJ RB",396
"Steven Jackson, Atl RB Q",395
"Bishop Sankey, Ten RB",389
"Andre Ellington, Ari RB",379
"DeAngelo Williams, Car RB",345
"Knowshon Moreno, Mia RB P",340
"Shane Vereen, NE RB",312
"Danny Woodhead, SD RB",292
"Bernard Pierce, Bal RB",290
"Maurice Jones-Drew, Oak RB",286
"Pierre Thomas, NO RB",285
"Fred Jackson, Buf RB",273
"Khiry Robinson, NO RB",266
"Chris Ivory, NYJ RB P",262
"Shonn Greene, Ten RB P",229