"Stephen Gostkowski, NE K",167
"Justin Tucker, Bal K",160
"Mason Crosby, GB K",157
"Steven Hauschka, Sea K",155
"Nick Novak, SD K",153
"Adam Vinatieri, Ind K",152
"Phil Dawson, SF K",152
"Blair Walsh, Min K",151
"Dan Bailey, Dal K",148
"Nick Folk, NYJ K",146
"Robbie Gould, Chi K",141
"Shayne Graham, NO K",140
"Matt Bryant, Atl K",138
"Jay Feely, Ari K",137
"Alex Henery, Phi K",137
"Dan Carpenter, Buf K",136
"Matt Prater, Den K SSPD",133
"Ryan Succop, KC K",133
"Connor Barth, TB K",132
"Greg Zuerlein, StL K",131
"Shaun Suisham, Pit K",129
"Mike Nugent, Cin K",124
"Kai Forbath, Wsh K",123
"Sebastian Janikowski, Oak K P",122