"Peyton Manning, Den QB",380
"Aaron Rodgers, GB QB",354
"Drew Brees, NO QB",344
"Matthew Stafford, Det QB",302
"Robert Griffin III, Wsh QB",298
"Andrew Luck, Ind QB",292
"Cam Newton, Car QB P",289
"Nick Foles, Phi QB",288
"Tony Romo, Dal QB",279
"Russell Wilson, Sea QB",279
"Colin Kaepernick, SF QB",277
"Matt Ryan, Atl QB",275
"Philip Rivers, SD QB",273
"Tom Brady, NE QB",270
"Jay Cutler, Chi QB",261
"Andy Dalton, Cin QB",252
"Ben Roethlisberger, Pit QB",248
"Carson Palmer, Ari QB",238
"Eli Manning, NYG QB",238
"Ryan Tannehill, Mia QB",237
"Joe Flacco, Bal QB",230
"Josh McCown, TB QB",220
"Alex Smith, KC QB",220
"EJ Manuel, Buf QB",191
"Geno Smith, NYJ QB",187
"Johnny Manziel, Cle QB",184
"Jake Locker, Ten QB",171
"Ryan Fitzpatrick, Hou QB",170
"Shaun Hill, StL QB",154
"Matt Cassel, Min QB",141
"Matt Schaub, Oak QB Q",137
"Chad Henne, Jac QB",134