"Jamaal Charles, KC RB P",308
"Matt Forte, Chi RB",305
"Adrian Peterson, Min RB",290
"LeSean McCoy, Phi RB P",284
"Marshawn Lynch, Sea RB",262
"Eddie Lacy, GB RB",256
"DeMarco Murray, Dal RB",246
"Le'Veon Bell, Pit RB",244
"Doug Martin, TB RB",243
"Montee Ball, Den RB P",233
"Giovani Bernard, Cin RB",229
"Reggie Bush, Det RB",225
"Arian Foster, Hou RB",220
"Shane Vereen, NE RB",217
"Ray Rice, Bal RB SSPD",215
"Trent Richardson, Ind RB",213
"Andre Ellington, Ari RB",213
"Ben Tate, Cle RB",209
"Joique Bell, Det RB",203
"Zac Stacy, StL RB",203
"C.J. Spiller, Buf RB",202
"Chris Johnson, NYJ RB",195
"Danny Woodhead, SD RB",190
"Alfred Morris, Wsh RB",190
"Pierre Thomas, NO RB",187
"Rashad Jennings, NYG RB",186
"Frank Gore, SF RB",184
"Toby Gerhart, Jac RB",183
"Ryan Mathews, SD RB",182
"Steven Jackson, Atl RB P",176
"Darren Sproles, Phi RB",169
"Stevan Ridley, NE RB",164
"Knowshon Moreno, Mia RB P",160
"Maurice Jones-Drew, Oak RB",155
"Bishop Sankey, Ten RB",151
"Fred Jackson, Buf RB",146
"DeAngelo Williams, Car RB",145
"Dexter McCluster, Ten WR, RB",131
"Marcel Reece, Oak RB P",106
"Roy Helu, Wsh RB",106
"Lamar Miller, Mia RB",103
"Bernard Pierce, Bal RB Q",103
"Mike Tolbert, Car RB",102
"Jordan Todman, Jac RB",102
"Khiry Robinson, NO RB",100
"Jeremy Hill, Cin RB",99
"Terrance West, Cle RB",97
"Darren McFadden, Oak RB",95
"Donald Brown, SD RB",93
"Chris Ivory, NYJ RB",93
"C.J. Anderson, Den RB",90
"Shonn Greene, Ten RB P",89
"Carlos Hyde, SF RB",89
"Mark Ingram, NO RB",88
"Jacquizz Rodgers, Atl RB",84
"Jonathan Stewart, Car RB",77