"Jimmy Graham, NO TE",273
"Julius Thomas, Den TE",236
"Rob Gronkowski, NE TE Q",203
"Jordan Cameron, Cle TE P",203
"Dennis Pitta, Bal TE",201
"Jason Witten, Dal TE",197
"Vernon Davis, SF TE",187
"Greg Olsen, Car TE",184
"Martellus Bennett, Chi TE",166
"Jordan Reed, Wsh TE",163
"Kyle Rudolph, Min TE",161
"Charles Clay, Mia TE P",146
"Delanie Walker, Ten TE",142
"Antonio Gates, SD TE",138
"Zach Ertz, Phi TE",138
"Heath Miller, Pit TE",136
"Ladarius Green, SD TE",120
"Jared Cook, StL TE",118
"Tyler Eifert, Cin TE P",113
"Coby Fleener, Ind TE",110
"Eric Ebron, Det TE",104
"Ryan Griffin, Hou TE",101
"Scott Chandler, Buf TE",97
"Mychal Rivera, Oak TE",96
"Travis Kelce, KC TE",95
"Austin Seferian-Jenkins, TB TE",93
"Dwayne Allen, Ind TE",92
"Andrew Quarless, GB TE",88
"Jace Amaro, NYJ TE",86
"Owen Daniels, Bal TE P",85
"Marcedes Lewis, Jac TE",84
"Jermaine Gresham, Cin TE",82